ip,duration,hostname,model,firmware,sysname_compliant,sysname_details,tacacs_compliant,tacacs_details,snmp_v3_check_compliant,snmp_v3_check_details,snmp_trap_check_compliant,snmp_trap_check_details
10.217.38.24,58.6,R57CCJEN105,S5732-H48S6Q,5.170 (S5732 V200R022C00SPC500),True,Hostname 'R57CCJEN105' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.106.10,58.6,R17CDXDO492,S5732-H24S6Q,5.170 (S5732 V200R019C10SPC500),True,Hostname 'R17CDXDO492' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.24.157,58.6,R54L07ET534-535,5510 24G SFP 4SFP+ HI JH149A,"7.1.070, Release 3507P06",True,Hostname 'R54L07ET534-535' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.217.1.139,59.1,R58AVVCT108,S6730-H24X6C,5.170 (S6730 V200R021C00SPC100),True,Hostname 'R58AVVCT108' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.30.166 manquant.
10.220.12.253,59.5,C10P10BVH3C,S5732-H24S6Q,5.170 (S5732 V200R021C00SPC100),False,Hostname 'C10P10BVH3C' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.30.166 manquant.
10.218.46.10,59.5,R57GEBBV231,HP 7503,"5.20.105, Feature 6705L01-US",True,Hostname 'R57GEBBV231' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.220.100.140,59.9,C50P12EN420,HP 384 Gbps Fabric A7500 Module JD194B,"5.20.99, Release 6626P02",False,Hostname 'C50P12EN420' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.3.172,60.2,N/A,Discovery Failed (device_info_dict is None or not a dict),N/A,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed
10.219.16.10,60.5,R34IVSLTX00-01,S6730-H48X6C,5.170 (S6730 V200R021C00SPC100),True,Hostname 'R34IVSLTX00-01' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.215.10,60.6,R56AUKCT022,5510 24G SFP 4SFP+ HI JH149A,"7.1.070, Release 3507P06",True,Hostname 'R56AUKCT022' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.238.140,61.0,R57AMEBV114,HP 7503,"5.20.105, Feature 6705L01-US",True,Hostname 'R57AMEBV114' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.219.30.250,61.1,C10P10BVH2P,5510 24G SFP 4SFP+ HI JH149A,"7.1.045, Release 1118P02",False,Hostname 'C10P10BVH2P' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.26.10,61.6,NETWLRBZS0004,S5732-H24S6Q,5.170 (S5732 V200R021C00SPC100),True,Hostname 'NETWLRBZS0004' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.28.99,61.7,R18MSETR470,S5732-H24S6Q,5.170 (S5732 V200R021C00SPC100),True,Hostname 'R18MSETR470' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.30.166 manquant.
10.217.1.178,61.7,R58AVVDO488,S5732-H24S6Q,5.170 (S5732 V200R021C00SPC100),True,Hostname 'R58AVVDO488' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.30.166 manquant.
10.218.143.10,61.7,R34TRACTX00-01,S6730-H48X6C,5.170 (S6730 V200R021C00SPC100),True,Hostname 'R34TRACTX00-01' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.165.6,61.9,R46ORLAS124,S5731-H24T4XC,5.170 (S5731 V200R021C00SPC100),True,Hostname 'R46ORLAS124' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.217.13.254,61.9,C10P10BVG1Q,HPE 7506 Switch Chassis JD239C,"7.1.070, Release 7557P03",False,Hostname 'C10P10BVG1Q' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.36.190,62.0,NETW000065993,S6730-H24X6C,5.170 (S6730 V200R021C00SPC100),True,Hostname 'NETW000065993' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Wrong SNMP PDU digest,False,Trap vers 10.105.30.166 manquant.
10.217.36.20,62.1,SKW_Coeur,S6730-H24X6C,5.170 (S6730 V200R021C00SPC100),False,Hostname 'SKW_Coeur' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.27.11,62.1,E0_CR1,HP 7506,"5.20.105, Feature 6705L01-US",False,Hostname 'E0_CR1' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.238.165,62.6,R57AMEAT013,5510 24G SFP 4SFP+ HI JH149A,"7.1.070, Release 3507P06",True,Hostname 'R57AMEAT013' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.218.136.133,62.8,R23VASCT082,5510 24G SFP 4SFP+ HI JH149A,"7.1.045, Release 1118P02",True,Hostname 'R23VASCT082' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.239.137,63.0,Atelier Voitures TCOC - 10.218.239.137,HP A3100-24 v2 EI Switch,"5.20.99, Release 5203P04",False,Hostname 'Atelier Voitures TCOC - 10.218.239.137' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.100.141,63.1,C50P12EN421,HP 384 Gbps Fabric A7500 Module JD194B,"5.20.99, Release 6626P02",False,Hostname 'C50P12EN421' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.13.253,63.8,C10P10BVG1S,HPE 7506 Switch Chassis JD239C,"7.1.070, Release 7557P03",False,Hostname 'C10P10BVG1S' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.10.11,63.8,R58M01AXANZ,HP 384 Gbps Fabric A7500 Module JD194B,"5.20.99, Release 6626P02",True,Hostname 'R58M01AXANZ' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.136.132,64.1,R23VASCT095,5510 24G SFP 4SFP+ HI JH149A,"7.1.045, Release 1118P02",True,Hostname 'R23VASCT095' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.13.4,64.1,ACH_ATL_CR1,S5735-S32ST4X,5.170 (S5735 V200R021C00SPC100),False,Hostname 'ACH_ATL_CR1' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.70.4,64.2,A7506SRHRGCCW,HP 7506,"5.20.105, Feature 6705L01-US",False,Hostname 'A7506SRHRGCCW' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.18.20,64.3,R44LSWDO908,5130-24G-SFP-4SFP+ EI JG933A,"7.1.045, Release 3109P07",True,Hostname 'R44LSWDO908' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.24.120,64.2,R54VSXDO647-648,5510 24G SFP 4SFP+ HI JH149A,"7.1.070, Release 3507P06",True,Hostname 'R54VSXDO647-648' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.219.3.174,64.2,GRV - 10.219.3.174,A3600-48-PoE+ v2 EI JG302A,"5.20.99, Release 2111P04",False,Hostname 'GRV - 10.219.3.174' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.40.150,65.2,R17NYVRGBHX,HP 384 Gbps A7500 Fab Mod w/2 XFP Ports JD193B,"5.20.105, Release 6710P03",True,Hostname 'R17NYVRGBHX' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.239.135,65.3,Coeur Télécom/TCOC - 10.218.239.135,5130-24G-SFP-4SFP+ EI JG933A,"7.1.045, Release 3109P07",False,Hostname 'Coeur Télécom/TCOC - 10.218.239.135' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.19.173,4.6,N/A,Discovery Failed (device_info_dict is None or not a dict),N/A,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed
10.218.7.54,65.8,R18SRHPV075,S5735-S32ST4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R18SRHPV075' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.30.166 manquant.
10.219.14.100,66.0,R56CFGCT099,HP 384 Gbps A7500 Fab Mod w/2 XFP Ports JD193B,"5.20.99, Release 6626P02",True,Hostname 'R56CFGCT099' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.73.10,66.0,R59MPLBV906,5130-24G-SFP-4SFP+ EI JG933A,"7.1.045, Release 3109P07",True,Hostname 'R59MPLBV906' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.155.200,66.3,R23TCFCT008,5510 24G SFP 4SFP+ HI JH149A,"7.1.045, Release 1118P02",True,Hostname 'R23TCFCT008' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.12.251,67.2,C10P10BVH3E,S5735-L48P4X-A,5.170 (S5735 V200R021C00SPC100),False,Hostname 'C10P10BVH3E' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.30.166 manquant.
10.220.0.145,67.3,R59PPNBV962,5130-24G-SFP-4SFP+ EI JG933A,"7.1.045, Release 3109P07",True,Hostname 'R59PPNBV962' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.9.70,9.8,N/A,Discovery Failed (device_info_dict is None or not a dict),N/A,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed
10.217.73.160,67.4,R59NIMEN733,S5735-S32ST4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R59NIMEN733' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.171.178,67.6,R24SQACT062,S5735-L48T4S-A,5.170 (S5735 V200R019C10SPC500),True,Hostname 'R24SQACT062' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.5.63,67.7,R17THLDO558,S5735-S32ST4X,5.170 (S5735 V200R019C10SPC500),True,Hostname 'R17THLDO558' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.5.15,67.7,R17THLCT064,5130-24G-4SFP+ EI JG932A,"7.1.045, Release 3109P07",True,Hostname 'R17THLCT064' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.12.158.66,67.8,R14CMZBV300,HP A3100-24 v2 EI Switch,"5.20.99, Release 5203P04",True,Hostname 'R14CMZBV300' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.24.170,68.4,R54L09ATX00-X01,S5735-S32ST4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R54L09ATX00-X01' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).
10.217.155.208,68.4,R23TCFEN070,S5735-L48T4S-A,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R23TCFEN070' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.40.113,68.6,R17JAMBM173,S5735-S32ST4X,5.170 (S5735 V200R019C10SPC500),True,Hostname 'R17JAMBM173' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.84.10,68.7,R34CXBATAWE-AWF-AWG-AWH,5510 24G SFP 4SFP+ HI JH149A,"7.1.070, Release 3507P06",True,Hostname 'R34CXBATAWE-AWF-AWG-AWH' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.15.17,68.8,R44BLGAM872,S5735-S32ST4X,5.170 (S5735 V200R020C10SPC500),True,Hostname 'R44BLGAM872' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.30.166 manquant.
10.220.0.144,69.1,R59PPNATX00,S5735-S24T4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R59PPNATX00' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.84.10,69.2,R34CXBATAWE-AWF-AWG-AWH,5510 24G SFP 4SFP+ HI JH149A,"7.1.070, Release 3507P06",True,Hostname 'R34CXBATAWE-AWF-AWG-AWH' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.142.135,69.6,ARG_PRS_CR1,5510 48G 4SFP+ HI JH146A,"7.1.045, Release 1118P02",False,Hostname 'ARG_PRS_CR1' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.30.254,70.8,C10P10BVF7F,5510 24G 4SFP+ HI JH145A,"7.1.045, Release 1118P02",False,Hostname 'C10P10BVF7F' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.225.137,71.1,R54LBLATX01-X02,S5735-L48T4S-A,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R54LBLATX01-X02' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.220.84.50,71.2,R34CXBATAWV-AWW,5130-24G-SFP-4SFP+ EI JG933A,"7.1.045, Release 3109P07",True,Hostname 'R34CXBATAWV-AWW' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.143.61,71.7,R34TRAEM017-018,S5735-L48P4X-A,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R34TRAEM017-018' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.19.4.12,73.6,R20SDEATAED,5130-48G-4SFP+ EI JG934A,"7.1.045, Release 3109P07",True,Hostname 'R20SDEATAED' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.20.132,73.7,R20DRNCE299,5130-48G-4SFP+ EI JG934A,"7.1.045, Release 3109P07",True,Hostname 'R20DRNCE299' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.73.160,81.8,R59NIMEN733,R59NIMEN733,,True,Hostname 'R59NIMEN733' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.30.250,59.0,C10P10BVH2P,5510 24G SFP 4SFP+ HI JH149A,"7.1.045, Release 1118P02",False,Hostname 'C10P10BVH2P' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.119.5,52.8,R24TGRATAGE,S6730-H24X6C,5.170 (S6730 V200R019C00SPC500),True,Hostname 'R24TGRATAGE' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.30.254,66.4,C10P10BVF7F,5510 24G 4SFP+ HI JH145A,"7.1.045, Release 1118P02",False,Hostname 'C10P10BVF7F' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.144.208,53.7,R24TGRCT061,S6730-H24X6C,5.170 (S6730 V200R019C00SPC500),True,Hostname 'R24TGRCT061' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.134.145,54.1,R46SKXTUX01,S5735-S24T4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R46SKXTUX01' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.217.36.190,55.1,NETW000065993,S6730-H24X6C,5.170 (S6730 V200R021C00SPC100),True,Hostname 'NETW000065993' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Wrong SNMP PDU digest,False,Trap vers 10.105.30.166 manquant.
10.217.157.68,53.7,R54VSXAT017-018-019-020,5510 48G 4SFP+ HI JH146A,"7.1.070, Release 3507P06",True,Hostname 'R54VSXAT017-018-019-020' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.134.151,55.8,R46SKXTUX00,S5735-S24T4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R46SKXTUX00' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.217.36.20,55.4,SKW_Coeur,S6730-H24X6C,5.170 (S6730 V200R021C00SPC100),False,Hostname 'SKW_Coeur' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.36.20,55.5,PXG_COEUR,HP 7506,"5.20.105, Feature 6705L01-US",False,Hostname 'PXG_COEUR' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.62.6,60.0,N/A,Discovery Failed (device_info_dict is None or not a dict),N/A,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed
